Time,Message,PnL
03 Aug 09:44,Regime shifted to SIDEWAYS,
03 Aug 10:17,Regime shifted to DIRECTIONAL,
03 Aug 10:31,Regime shifted to SIDEWAYS,
03 Aug 12:38,Regime shifted to DIRECTIONAL,
03 Aug 12:45,Regime shifted to SIDEWAYS,
03 Aug 12:48,Regime shifted to DIRECTIONAL,
03 Aug 12:55,Regime shifted to SIDEWAYS,
03 Aug 12:59,Regime shifted to DIRECTIONAL,
03 Aug 13:14,Regime shifted to SIDEWAYS,
03 Aug 13:36,Regime shifted to DIRECTIONAL,
03 Aug 13:41,Regime shifted to SIDEWAYS,
03 Aug 15:06,Regime shifted to DIRECTIONAL,
03 Aug 15:29,Regime shifted to VOLATILE,
04 Aug 09:21,Regime shifted to DIRECTIONAL,
04 Aug 10:55,Regime shifted to SIDEWAYS,
04 Aug 10:56,Regime shifted to DIRECTIONAL,
04 Aug 11:02,Regime shifted to SIDEWAYS,
04 Aug 11:32,Regime shifted to DIRECTIONAL,
04 Aug 12:51,Regime shifted to SIDEWAYS,
04 Aug 13:10,Regime shifted to DIRECTIONAL,
04 Aug 13:26,Regime shifted to SIDEWAYS,
04 Aug 13:30,Regime shifted to DIRECTIONAL,
04 Aug 14:13,Regime shifted to SIDEWAYS,
04 Aug 14:20,Regime shifted to DIRECTIONAL,
04 Aug 14:23,Regime shifted to SIDEWAYS,
04 Aug 15:28,Regime shifted to VOLATILE,
05 Aug 09:20,Regime shifted to DIRECTIONAL,
05 Aug 10:05,Regime shifted to SIDEWAYS,
05 Aug 10:34,Regime shifted to DIRECTIONAL,
05 Aug 10:37,Regime shifted to SIDEWAYS,
05 Aug 10:56,Regime shifted to DIRECTIONAL,
05 Aug 11:18,Regime shifted to SIDEWAYS,
05 Aug 11:34,Regime shifted to DIRECTIONAL,
05 Aug 12:27,Regime shifted to SIDEWAYS,
05 Aug 12:31,Regime shifted to DIRECTIONAL,
05 Aug 13:12,Regime shifted to SIDEWAYS,
05 Aug 15:19,Regime shifted to DIRECTIONAL,
06 Aug 09:16,Regime shifted to VOLATILE,
06 Aug 09:20,Regime shifted to DIRECTIONAL,
06 Aug 09:35,Regime shifted to SIDEWAYS,
06 Aug 09:52,Regime shifted to DIRECTIONAL,
06 Aug 09:55,Regime shifted to SIDEWAYS,
06 Aug 10:02,Regime shifted to DIRECTIONAL,
06 Aug 10:15,Regime shifted to SIDEWAYS,
06 Aug 11:17,Regime shifted to DIRECTIONAL,
06 Aug 11:39,Regime shifted to SIDEWAYS,
06 Aug 11:42,Regime shifted to DIRECTIONAL,
06 Aug 12:04,Regime shifted to SIDEWAYS,
06 Aug 14:17,Regime shifted to DIRECTIONAL,
06 Aug 14:22,Regime shifted to SIDEWAYS,
07 Aug 09:15,Regime shifted to VOLATILE,
07 Aug 09:22,Regime shifted to DIRECTIONAL,
