Time,Message,PnL
03 Aug 09:44,Regime shifted to SIDEWAYS,
03 Aug 10:17,Regime shifted to DIRECTIONAL,
03 Aug 10:17,Entered DIRECTIONAL (buy CE) - Capital Used: ₹72085.00,
03 Aug 10:18,Trailing Stop raised to 19.12% (High PnL: 0.88%),
03 Aug 10:28,Trailing Stop raised to 19.01% (High PnL: 0.99%),
03 Aug 10:29,Trailing Stop raised to 18.79% (High PnL: 1.21%),
03 Aug 10:30,Trailing Stop raised to 18.74% (High PnL: 1.26%),
03 Aug 10:31,Regime shifted to SIDEWAYS,
03 Aug 10:31,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),195.0
03 Aug 12:38,Regime shifted to DIRECTIONAL,
03 Aug 12:38,Entered DIRECTIONAL (buy CE) - Capital Used: ₹73580.00,
03 Aug 12:39,Trailing Stop raised to 20.00% (High PnL: 0.00%),
03 Aug 12:40,Trailing Stop raised to 19.93% (High PnL: 0.07%),
03 Aug 12:41,Trailing Stop raised to 19.36% (High PnL: 0.64%),
03 Aug 12:45,Regime shifted to SIDEWAYS,
03 Aug 12:45,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),975.0
03 Aug 12:48,Regime shifted to DIRECTIONAL,
03 Aug 12:48,Entered DIRECTIONAL (buy CE) - Capital Used: ₹78221.00,
03 Aug 12:49,Trailing Stop raised to 18.70% (High PnL: 1.30%),
03 Aug 12:50,Trailing Stop raised to 18.16% (High PnL: 1.84%),
03 Aug 12:51,Trailing Stop raised to 17.34% (High PnL: 2.66%),
03 Aug 12:54,Trailing Stop raised to 17.06% (High PnL: 2.94%),
03 Aug 12:55,Regime shifted to SIDEWAYS,
03 Aug 12:55,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),1170.0
03 Aug 12:59,Regime shifted to DIRECTIONAL,
03 Aug 12:59,Entered DIRECTIONAL (buy CE) - Capital Used: ₹89342.50,
03 Aug 13:00,Trailing Stop raised to 20.00% (High PnL: 0.00%),
03 Aug 13:14,Regime shifted to SIDEWAYS,
03 Aug 13:14,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-1819.9999999999889
03 Aug 13:36,Regime shifted to DIRECTIONAL,
03 Aug 13:36,Entered DIRECTIONAL (buy CE) - Capital Used: ₹73723.00,
03 Aug 13:37,Trailing Stop raised to 20.00% (High PnL: 0.00%),
03 Aug 13:41,Regime shifted to SIDEWAYS,
03 Aug 13:41,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-663.000000000003
03 Aug 15:06,Regime shifted to DIRECTIONAL,
03 Aug 15:06,Entered DIRECTIONAL (buy CE) - Capital Used: ₹85751.25,
03 Aug 15:07,Trailing Stop raised to 20.00% (High PnL: 0.00%),
03 Aug 15:11,Trailing Stop raised to 19.41% (High PnL: 0.59%),
