Time,Message,PnL
03 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹390000.00,
03 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,1140.7499999999989
04 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹520000.00,
04 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,104.00000000000148
05 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹650000.00,
05 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,-6028.7499999999945
06 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹780000.00,
06 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,-4816.499999999986
07 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹910000.00,
07 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,11852.749999999993
10 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹1170000.00,
10 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,16730.999999999996
11 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹1430000.00,
11 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,21878.999999999996
12 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹1690000.00,
12 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,22519.25000000003
13 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹2080000.00,
13 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,15027.999999999989
14 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹2340000.00,
14 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,7371.000000000014
17 Aug 09:20,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹2730000.00,
17 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,2525.2499999999923
17 Aug 15:29,Regime shifted to DIRECTIONAL,
18 Aug 09:15,Regime shifted to VOLATILE,
18 Aug 09:20,Regime shifted to DIRECTIONAL,
18 Aug 09:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹3206872.50,
18 Aug 09:32,Trailing Stop moved to 4.34% (High PnL: 0.66%),
18 Aug 09:36,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-200996.24999999974
18 Aug 09:37,Entered DIRECTIONAL (buy PE) - Capital Used: ₹3022656.00,
18 Aug 09:38,Trailing Stop moved to 1.82% (High PnL: 3.18%),
18 Aug 09:43,Trailing Stop moved to 1.20% (High PnL: 3.80%),
18 Aug 09:44,Trailing Stop moved to -1.28% (High PnL: 6.28%),
18 Aug 09:45,Trailing Stop moved to -3.59% (High PnL: 8.59%),
18 Aug 09:46,Trailing Stop moved to -5.28% (High PnL: 10.28%),
18 Aug 09:48,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,132288.0000000003
18 Aug 09:49,Entered DIRECTIONAL (buy PE) - Capital Used: ₹3144960.00,
18 Aug 09:50,Trailing Stop moved to 5.00% (High PnL: 0.00%),
18 Aug 09:51,Trailing Stop moved to 2.66% (High PnL: 2.34%),
18 Aug 09:53,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-88451.99999999985
18 Aug 09:54,Entered DIRECTIONAL (buy PE) - Capital Used: ₹3066375.00,
18 Aug 09:55,Trailing Stop moved to 1.86% (High PnL: 3.14%),
18 Aug 10:02,Trailing Stop moved to 0.22% (High PnL: 4.78%),
18 Aug 10:07,Regime shifted to SIDEWAYS,
