EntryTime,ExitTime,Type,Regime,SignalLeg,CE_Entry,PE_Entry,CE_Exit,PE_Exit,Qty,Reason,PnL
13 Aug 10:32,13 Aug 10:36,buy,DIRECTIONAL,PE,241.05,140.55,240.7,140.1,65,Smart Exit (Regime Shift),-29.25000000000111
13 Aug 11:07,13 Aug 11:22,buy,DIRECTIONAL,PE,238.5,138.75,242.6,132.8,65,Smart Exit (Regime Shift),-386.74999999999926
13 Aug 11:31,13 Aug 12:03,buy,DIRECTIONAL,PE,219.5,146.25,270.6,116.8,65,Trailing Stop Hit,-1914.2500000000002
13 Aug 12:04,13 Aug 12:29,buy,DIRECTIONAL,PE,234.0,137.65,223.0,142.5,65,Smart Exit (Regime Shift),315.24999999999966
13 Aug 12:52,13 Aug 13:21,buy,DIRECTIONAL,PE,243.8,129.7,242.05,128.35,65,Smart Exit (Regime Shift),-87.74999999999963
13 Aug 13:57,13 Aug 14:00,buy,DIRECTIONAL,PE,227.35,134.05,222.35,136.3,65,Smart Exit (Regime Shift),146.25
13 Aug 14:17,13 Aug 14:20,buy,DIRECTIONAL,PE,240.0,126.35,246.7,121.9,65,Smart Exit (Regime Shift),-289.24999999999926
13 Aug 14:49,13 Aug 15:13,buy,DIRECTIONAL,PE,245.8,126.0,243.7,124.85,65,Smart Exit (Regime Shift),-74.75000000000037
17 Aug 09:31,17 Aug 09:49,buy,DIRECTIONAL,PE,167.2,129.8,169.05,125.65,65,Smart Exit (Regime Shift),-269.75000000000034
17 Aug 10:14,17 Aug 11:09,buy,DIRECTIONAL,PE,160.75,133.8,147.6,152.85,65,Smart Exit (Regime Shift),1238.2499999999989
17 Aug 11:52,17 Aug 12:10,buy,DIRECTIONAL,PE,188.0,112.6,184.8,116.1,65,Smart Exit (Regime Shift),227.5
17 Aug 12:20,17 Aug 12:59,buy,DIRECTIONAL,PE,163.55,126.55,203.4,101.3,65,Trailing Stop Hit,-1641.25
17 Aug 13:00,17 Aug 13:41,buy,DIRECTIONAL,PE,177.4,118.95,187.75,112.0,65,Smart Exit (Regime Shift),-451.75000000000017
17 Aug 13:42,17 Aug 13:50,buy,DIRECTIONAL,PE,188.75,111.95,180.0,116.2,65,Smart Exit (Regime Shift),276.25
18 Aug 09:31,18 Aug 10:07,buy,DIRECTIONAL,PE,168.75,106.1,161.9,110.25,65,Smart Exit (Regime Shift),269.75000000000034
18 Aug 10:17,18 Aug 10:25,buy,DIRECTIONAL,PE,155.3,117.0,157.4,113.8,65,Smart Exit (Regime Shift),-208.00000000000017
18 Aug 10:46,18 Aug 11:09,buy,DIRECTIONAL,PE,153.05,116.55,156.05,115.0,65,Smart Exit (Regime Shift),-100.74999999999982
18 Aug 11:31,18 Aug 11:32,buy,DIRECTIONAL,PE,147.75,129.0,151.2,126.45,65,Smart Exit (Regime Shift),-165.74999999999983
18 Aug 11:53,18 Aug 11:55,buy,DIRECTIONAL,PE,156.45,116.65,153.1,120.9,65,Smart Exit (Regime Shift),276.25
18 Aug 12:07,18 Aug 12:15,buy,DIRECTIONAL,PE,161.1,110.6,156.55,114.6,65,Smart Exit (Regime Shift),260.0
18 Aug 12:47,18 Aug 12:50,buy,DIRECTIONAL,PE,153.9,118.45,157.1,114.7,65,Smart Exit (Regime Shift),-243.75
18 Aug 13:05,18 Aug 13:08,buy,DIRECTIONAL,PE,149.0,122.45,154.15,116.7,65,Smart Exit (Regime Shift),-373.75
18 Aug 14:57,18 Aug 15:11,buy,DIRECTIONAL,PE,155.95,109.3,154.05,107.6,65,Smart Exit (Regime Shift),-110.50000000000018
19 Aug 09:31,19 Aug 10:01,buy,DIRECTIONAL,PE,141.0,113.6,144.6,106.15,65,Smart Exit (Regime Shift),-484.24999999999926
19 Aug 10:24,19 Aug 11:24,buy,DIRECTIONAL,PE,159.75,92.4,155.0,96.8,65,Smart Exit (Regime Shift),285.99999999999943
19 Aug 11:52,19 Aug 12:17,buy,DIRECTIONAL,PE,167.0,85.25,153.0,95.0,65,Smart Exit (Regime Shift),633.75
19 Aug 13:30,19 Aug 13:37,buy,DIRECTIONAL,PE,151.95,95.4,150.6,95.9,65,Smart Exit (Regime Shift),32.5
19 Aug 14:23,19 Aug 14:35,buy,DIRECTIONAL,PE,143.8,98.6,179.7,72.95,65,Trailing Stop Hit,-1667.2499999999995
19 Aug 14:36,19 Aug 14:41,buy,DIRECTIONAL,PE,169.25,78.8,149.0,93.2,65,Smart Exit (Regime Shift),936.0000000000003
20 Aug 09:34,20 Aug 10:27,buy,DIRECTIONAL,CE,131.8,75.9,136.55,67.4,65,Smart Exit (Regime Shift),308.75
20 Aug 11:22,20 Aug 12:06,buy,DIRECTIONAL,CE,127.0,71.2,142.8,60.25,65,Smart Exit (Regime Shift),1027.0000000000007
20 Aug 12:48,20 Aug 13:07,buy,DIRECTIONAL,CE,144.0,63.9,143.05,65.2,65,Smart Exit (Regime Shift),-61.74999999999926
20 Aug 14:04,20 Aug 14:08,buy,DIRECTIONAL,CE,129.8,67.55,131.65,66.9,65,Smart Exit (Regime Shift),120.24999999999963
21 Aug 09:32,21 Aug 09:34,buy,DIRECTIONAL,PE,126.6,61.3,123.95,63.4,130,Smart Exit (Regime Shift),273.00000000000017
21 Aug 09:44,21 Aug 10:08,buy,DIRECTIONAL,PE,105.25,70.1,100.7,72.15,130,Smart Exit (Regime Shift),266.5000000000015
21 Aug 10:31,21 Aug 10:39,buy,DIRECTIONAL,PE,112.75,62.55,108.95,64.7,130,Smart Exit (Regime Shift),279.50000000000074
21 Aug 10:42,21 Aug 11:04,buy,DIRECTIONAL,PE,113.3,62.0,115.95,59.6,130,Smart Exit (Regime Shift),-311.99999999999983
21 Aug 12:04,21 Aug 12:25,buy,DIRECTIONAL,PE,103.5,64.95,103.5,64.9,130,Smart Exit (Regime Shift),-6.4999999999996305
21 Aug 13:07,21 Aug 13:24,buy,DIRECTIONAL,PE,107.9,59.4,100.2,64.35,130,Smart Exit (Regime Shift),643.4999999999994
