EntryTime,ExitTime,Type,Regime,SignalLeg,CE_Entry,PE_Entry,CE_Exit,PE_Exit,Qty,Reason,PnL
03 Aug 10:17,03 Aug 10:31,buy,DIRECTIONAL,CE,277.25,220.5,278.0,220.5,260,Smart Exit (Regime Shift),195.0
03 Aug 12:38,03 Aug 12:45,buy,DIRECTIONAL,CE,283.0,222.8,286.75,220.8,260,Smart Exit (Regime Shift),975.0
03 Aug 12:48,03 Aug 12:55,buy,DIRECTIONAL,CE,300.85,212.7,305.35,209.25,260,Smart Exit (Regime Shift),1170.0
03 Aug 12:59,03 Aug 13:14,buy,DIRECTIONAL,CE,274.9,230.7,269.3,235.0,325,Smart Exit (Regime Shift),-1819.9999999999889
03 Aug 13:36,03 Aug 13:41,buy,DIRECTIONAL,CE,283.55,221.4,281.0,224.2,260,Smart Exit (Regime Shift),-663.000000000003
03 Aug 15:06,03 Aug 15:15,buy,DIRECTIONAL,CE,263.85,231.55,267.5,232.75,325,EOD Exit,1186.2499999999927
04 Aug 09:20,04 Aug 09:21,buy,VOLATILE,,284.75,215.8,283.0,216.85,130,Smart Exit (Regime Shift),-91.00000000000222
04 Aug 09:32,04 Aug 10:55,buy,DIRECTIONAL,PE,271.75,229.75,268.0,230.35,390,Smart Exit (Regime Shift),233.99999999999778
04 Aug 10:56,04 Aug 11:02,buy,DIRECTIONAL,PE,288.15,215.5,299.0,209.05,390,Smart Exit (Regime Shift),-2515.4999999999955
04 Aug 11:32,04 Aug 12:51,buy,DIRECTIONAL,PE,294.7,213.6,261.45,251.65,390,Smart Exit (Regime Shift),14839.500000000004
04 Aug 13:10,04 Aug 13:26,buy,DIRECTIONAL,PE,281.6,243.0,279.9,243.65,390,Smart Exit (Regime Shift),253.50000000000222
04 Aug 13:30,04 Aug 14:13,buy,DIRECTIONAL,PE,301.2,226.05,301.3,223.2,390,Smart Exit (Regime Shift),-1111.5000000000089
04 Aug 14:20,04 Aug 14:23,buy,DIRECTIONAL,PE,282.2,230.4,274.75,243.35,390,Smart Exit (Regime Shift),5050.499999999995
05 Aug 09:52,05 Aug 10:05,buy,DIRECTIONAL,PE,293.95,197.9,291.4,200.05,520,Smart Exit (Regime Shift),1118.000000000003
05 Aug 10:34,05 Aug 10:37,buy,DIRECTIONAL,PE,283.45,215.75,281.55,220.1,455,Smart Exit (Regime Shift),1979.2499999999975
05 Aug 10:56,05 Aug 11:18,buy,DIRECTIONAL,PE,275.1,211.3,274.0,217.0,455,Smart Exit (Regime Shift),2593.499999999995
05 Aug 11:34,05 Aug 12:27,buy,DIRECTIONAL,PE,283.0,216.15,277.3,230.0,455,Smart Exit (Regime Shift),6301.749999999997
05 Aug 12:31,05 Aug 13:12,buy,DIRECTIONAL,PE,293.45,218.95,287.65,239.4,520,Smart Exit (Regime Shift),10634.00000000001
06 Aug 09:32,06 Aug 09:35,buy,DIRECTIONAL,PE,277.05,213.2,280.55,209.0,585,Smart Exit (Regime Shift),-2456.999999999993
06 Aug 09:52,06 Aug 09:55,buy,DIRECTIONAL,PE,299.0,204.6,293.0,206.4,585,Smart Exit (Regime Shift),1053.0000000000066
06 Aug 10:02,06 Aug 10:15,buy,DIRECTIONAL,PE,303.0,200.2,310.65,197.95,585,Smart Exit (Regime Shift),-1316.25
06 Aug 11:17,06 Aug 11:39,buy,DIRECTIONAL,PE,300.0,209.65,299.7,212.95,585,Smart Exit (Regime Shift),1930.49999999999
06 Aug 11:42,06 Aug 12:04,buy,DIRECTIONAL,PE,288.05,218.7,301.7,210.5,520,Smart Exit (Regime Shift),-4263.9999999999945
06 Aug 14:17,06 Aug 14:22,buy,DIRECTIONAL,PE,297.0,203.85,298.3,202.4,585,Smart Exit (Regime Shift),-848.2499999999934
07 Aug 09:20,07 Aug 09:22,buy,VOLATILE,,288.9,211.95,295.0,211.0,195,Smart Exit (Regime Shift),1004.2500000000066
07 Aug 09:44,07 Aug 09:45,buy,DIRECTIONAL,CE,300.7,209.9,298.95,211.95,390,Smart Exit (Regime Shift),-682.5
07 Aug 10:17,07 Aug 10:54,buy,DIRECTIONAL,CE,285.25,217.8,276.55,224.0,390,Smart Exit (Regime Shift),-3392.9999999999955
07 Aug 11:04,07 Aug 11:10,buy,DIRECTIONAL,CE,294.45,212.25,298.9,208.95,390,Smart Exit (Regime Shift),1735.4999999999955
07 Aug 11:28,07 Aug 11:34,buy,DIRECTIONAL,CE,279.25,217.65,276.1,221.3,390,Smart Exit (Regime Shift),-1228.4999999999911
07 Aug 11:52,07 Aug 12:32,buy,DIRECTIONAL,CE,292.9,211.25,290.55,210.35,390,Smart Exit (Regime Shift),-916.4999999999867
07 Aug 13:51,07 Aug 14:01,buy,DIRECTIONAL,CE,269.9,215.7,265.25,221.4,390,Smart Exit (Regime Shift),-1813.4999999999911
07 Aug 14:13,07 Aug 14:21,buy,DIRECTIONAL,CE,274.8,212.9,278.5,212.3,390,Smart Exit (Regime Shift),1442.9999999999955
07 Aug 14:23,07 Aug 14:24,buy,DIRECTIONAL,CE,278.4,215.0,279.85,211.15,390,Smart Exit (Regime Shift),565.5000000000177
10 Aug 09:20,10 Aug 09:23,buy,VOLATILE,,273.5,203.6,271.0,209.1,195,Smart Exit (Regime Shift),585.0
10 Aug 09:31,10 Aug 09:56,buy,DIRECTIONAL,PE,280.3,203.4,267.2,209.0,520,Smart Exit (Regime Shift),2911.9999999999973
10 Aug 10:21,10 Aug 10:58,buy,DIRECTIONAL,PE,258.0,208.8,265.9,199.95,520,Smart Exit (Regime Shift),-4602.000000000012
10 Aug 12:18,10 Aug 12:21,buy,DIRECTIONAL,PE,277.55,187.25,272.7,188.9,585,Smart Exit (Regime Shift),965.2500000000033
10 Aug 12:56,10 Aug 13:20,buy,DIRECTIONAL,PE,266.9,194.8,262.2,195.95,585,Smart Exit (Regime Shift),672.7499999999867
10 Aug 13:45,10 Aug 13:47,buy,DIRECTIONAL,PE,273.3,185.3,268.85,189.05,585,Smart Exit (Regime Shift),2193.75
10 Aug 14:05,10 Aug 14:06,buy,DIRECTIONAL,PE,268.15,190.4,270.85,188.2,585,Smart Exit (Regime Shift),-1287.00000000001
10 Aug 14:39,10 Aug 15:05,buy,DIRECTIONAL,PE,279.85,176.6,282.9,171.2,650,Smart Exit (Regime Shift),-3510.0000000000036
11 Aug 09:20,11 Aug 09:21,buy,VOLATILE,,254.6,192.35,258.15,189.2,195,Smart Exit (Regime Shift),77.99999999999557
11 Aug 09:37,11 Aug 10:01,buy,DIRECTIONAL,PE,247.7,200.85,242.8,194.25,520,Smart Exit (Regime Shift),-3431.9999999999973
11 Aug 11:09,11 Aug 11:22,buy,DIRECTIONAL,PE,250.45,187.85,254.5,184.75,585,Smart Exit (Regime Shift),-1813.4999999999966
11 Aug 11:27,11 Aug 11:35,buy,DIRECTIONAL,PE,252.55,186.55,251.9,188.05,585,Smart Exit (Regime Shift),877.5
11 Aug 12:49,11 Aug 12:56,buy,DIRECTIONAL,PE,258.9,174.85,252.2,180.0,585,Smart Exit (Regime Shift),3012.750000000003
11 Aug 13:07,11 Aug 13:16,buy,DIRECTIONAL,PE,259.6,171.1,254.25,176.5,650,Smart Exit (Regime Shift),3510.0000000000036
11 Aug 14:58,11 Aug 15:09,buy,DIRECTIONAL,PE,258.25,165.05,259.35,165.15,715,Smart Exit (Regime Shift),71.49999999999594
12 Aug 09:20,12 Aug 09:23,buy,VOLATILE,,257.85,157.4,255.9,158.9,260,Smart Exit (Regime Shift),-117.00000000000443
12 Aug 09:53,12 Aug 10:26,buy,DIRECTIONAL,CE,247.65,160.9,226.35,176.8,455,Smart Exit (Regime Shift),-9691.500000000005
12 Aug 10:48,12 Aug 11:46,buy,DIRECTIONAL,CE,246.5,163.35,220.9,185.6,390,Smart Exit (Regime Shift),-9983.999999999998
12 Aug 11:59,12 Aug 12:18,buy,DIRECTIONAL,CE,243.8,170.85,245.4,170.95,390,Smart Exit (Regime Shift),623.9999999999977
12 Aug 14:31,12 Aug 15:15,buy,DIRECTIONAL,CE,256.6,147.85,287.9,122.65,390,EOD Exit,12206.999999999982
13 Aug 10:32,13 Aug 10:36,buy,DIRECTIONAL,PE,241.05,140.55,240.7,140.1,780,Smart Exit (Regime Shift),-351.0000000000133
13 Aug 11:07,13 Aug 11:22,buy,DIRECTIONAL,PE,238.5,138.75,242.6,132.8,780,Smart Exit (Regime Shift),-4640.999999999991
13 Aug 11:31,13 Aug 12:03,buy,DIRECTIONAL,PE,219.5,146.25,270.6,116.8,715,Trailing Stop Hit,-21056.750000000004
13 Aug 12:04,13 Aug 12:29,buy,DIRECTIONAL,PE,234.0,137.65,223.0,142.5,585,Smart Exit (Regime Shift),2837.249999999997
13 Aug 12:52,13 Aug 13:21,buy,DIRECTIONAL,PE,243.8,129.7,242.05,128.35,650,Smart Exit (Regime Shift),-877.4999999999964
13 Aug 13:57,13 Aug 14:00,buy,DIRECTIONAL,PE,227.35,134.05,222.35,136.3,650,Smart Exit (Regime Shift),1462.5
13 Aug 14:17,13 Aug 14:20,buy,DIRECTIONAL,PE,240.0,126.35,246.7,121.9,715,Smart Exit (Regime Shift),-3181.749999999992
13 Aug 14:49,13 Aug 15:13,buy,DIRECTIONAL,PE,245.8,126.0,243.7,124.85,650,Smart Exit (Regime Shift),-747.5000000000036
14 Aug 09:20,14 Aug 09:21,buy,VOLATILE,,220.05,134.85,222.35,131.95,195,Smart Exit (Regime Shift),-117.00000000000443
14 Aug 10:32,14 Aug 10:46,buy,DIRECTIONAL,CE,209.45,130.95,215.9,124.35,390,Smart Exit (Regime Shift),2515.500000000007
14 Aug 12:14,14 Aug 12:41,buy,DIRECTIONAL,CE,190.35,140.45,187.45,144.0,455,Smart Exit (Regime Shift),-1319.5000000000025
14 Aug 12:54,14 Aug 13:01,buy,DIRECTIONAL,CE,194.5,135.0,193.15,136.15,455,Smart Exit (Regime Shift),-614.2499999999974
