EntryTime,ExitTime,Type,Regime,SignalLeg,CE_Entry,PE_Entry,CE_Exit,PE_Exit,Qty,Reason,PnL
03 Aug 09:20,03 Aug 15:15,sell,SIDEWAYS,,289.3,222.65,295.05,211.05,195,EOD Exit,1140.7499999999989
04 Aug 09:20,04 Aug 15:15,sell,SIDEWAYS,,284.75,215.8,229.1,271.05,260,EOD Exit,104.00000000000148
05 Aug 09:20,05 Aug 15:15,sell,SIDEWAYS,,274.55,197.8,224.9,266.0,325,EOD Exit,-6028.7499999999945
06 Aug 09:20,06 Aug 15:15,sell,SIDEWAYS,,272.1,210.75,295.2,200.0,390,EOD Exit,-4816.499999999986
07 Aug 09:20,07 Aug 15:15,sell,SIDEWAYS,,288.9,211.95,270.9,203.9,455,EOD Exit,11852.749999999993
10 Aug 09:20,10 Aug 15:15,sell,SIDEWAYS,,273.5,203.6,253.5,195.0,585,EOD Exit,16730.999999999996
11 Aug 09:20,11 Aug 15:15,sell,SIDEWAYS,,254.6,192.35,228.6,187.75,715,EOD Exit,21878.999999999996
12 Aug 09:20,12 Aug 15:15,sell,SIDEWAYS,,257.85,157.4,230.0,158.6,845,EOD Exit,22519.25000000003
13 Aug 09:20,13 Aug 15:15,sell,SIDEWAYS,,228.2,154.15,243.9,124.0,1040,EOD Exit,15027.999999999989
14 Aug 09:20,14 Aug 15:15,sell,SIDEWAYS,,220.05,134.85,250.0,98.6,1170,EOD Exit,7371.000000000014
17 Aug 09:20,17 Aug 15:15,sell,SIDEWAYS,,177.55,126.1,204.3,97.5,1365,EOD Exit,2525.2499999999923
18 Aug 09:31,18 Aug 09:36,buy,DIRECTIONAL,PE,168.75,106.1,176.0,99.45,30225,Trailing Stop Hit,-200996.24999999974
18 Aug 09:37,18 Aug 09:48,buy,DIRECTIONAL,PE,146.85,121.1,138.95,126.4,24960,Trailing Stop Hit,132288.0000000003
18 Aug 09:49,18 Aug 09:53,buy,DIRECTIONAL,PE,137.1,128.0,140.5,124.4,24570,Trailing Stop Hit,-88451.99999999985
18 Aug 09:54,18 Aug 10:07,buy,DIRECTIONAL,PE,138.1,127.5,134.8,132.4,24050,Smart Exit (Regime Shift),117845.00000000013
18 Aug 10:08,18 Aug 10:17,sell,SIDEWAYS,,134.2,132.7,128.0,140.25,1560,Smart Exit (Regime Shift),-2106.0000000000355
18 Aug 10:18,18 Aug 10:25,buy,DIRECTIONAL,PE,156.8,115.1,157.4,113.8,30745,Smart Exit (Regime Shift),-39968.49999999991
18 Aug 10:26,18 Aug 10:46,sell,SIDEWAYS,,160.35,111.1,153.05,116.55,1690,Smart Exit (Regime Shift),3126.4999999999663
18 Aug 10:47,18 Aug 10:59,buy,DIRECTIONAL,PE,152.45,118.6,153.8,117.85,33085,Trailing Stop Hit,-24813.75
18 Aug 11:00,18 Aug 11:08,buy,DIRECTIONAL,PE,152.4,119.95,157.35,112.15,32500,Trailing Stop Hit,-253499.9999999999
18 Aug 11:09,18 Aug 11:31,sell,SIDEWAYS,,156.05,115.0,147.75,129.0,1820,Smart Exit (Regime Shift),-10373.99999999998
18 Aug 11:32,18 Aug 11:53,sell,SIDEWAYS,,151.2,126.45,156.45,116.65,2015,Smart Exit (Regime Shift),9168.249999999995
18 Aug 11:54,18 Aug 11:55,buy,DIRECTIONAL,PE,153.95,119.25,153.1,120.9,38740,Smart Exit (Regime Shift),63921.00000000022
18 Aug 11:56,18 Aug 12:07,sell,SIDEWAYS,,153.3,120.7,161.1,110.6,2275,Smart Exit (Regime Shift),5232.500000000058
18 Aug 12:08,18 Aug 12:15,buy,DIRECTIONAL,PE,159.3,112.55,156.55,114.6,46540,Smart Exit (Regime Shift),95406.99999999987
18 Aug 12:16,18 Aug 12:47,sell,SIDEWAYS,,154.8,116.25,153.9,118.45,2665,Smart Exit (Regime Shift),-3464.4999999999923
18 Aug 12:48,18 Aug 12:50,buy,DIRECTIONAL,PE,155.4,117.2,157.1,114.7,50960,Smart Exit (Regime Shift),-127400.0
18 Aug 12:51,18 Aug 13:05,sell,SIDEWAYS,,157.7,114.4,149.0,122.45,2925,Smart Exit (Regime Shift),1901.249999999975
18 Aug 13:06,18 Aug 13:08,buy,DIRECTIONAL,PE,150.6,121.75,154.15,116.7,54015,Smart Exit (Regime Shift),-272775.7499999998
18 Aug 13:09,18 Aug 14:57,sell,SIDEWAYS,,155.2,114.5,155.95,109.3,3120,Smart Exit (Regime Shift),13884.00000000001
18 Aug 14:58,18 Aug 15:00,buy,DIRECTIONAL,PE,154.85,110.05,159.9,101.55,64545,Trailing Stop Hit,-548632.5
18 Aug 15:01,18 Aug 15:11,buy,DIRECTIONAL,PE,157.35,104.75,154.05,107.6,63115,Smart Exit (Regime Shift),179877.74999999965
19 Aug 09:20,19 Aug 09:21,sell,VOLATILE,,152.0,105.6,156.95,101.9,3380,Smart Exit (Regime Shift),-4225.0
19 Aug 09:31,19 Aug 09:39,buy,DIRECTIONAL,PE,141.0,113.6,138.6,112.65,66430,Trailing Stop Hit,-63108.49999999924
19 Aug 09:40,19 Aug 09:43,buy,DIRECTIONAL,PE,165.55,93.95,171.0,88.4,79755,Trailing Stop Hit,-442640.24999999977
19 Aug 09:44,19 Aug 09:49,buy,DIRECTIONAL,PE,139.0,111.85,144.5,105.8,63440,Trailing Stop Hit,-383811.9999999998
19 Aug 09:50,19 Aug 10:01,buy,DIRECTIONAL,PE,149.0,102.1,144.6,106.15,66105,Smart Exit (Regime Shift),267725.25000000076
19 Aug 10:02,19 Aug 10:24,sell,SIDEWAYS,,148.2,103.65,131.65,113.75,3445,Smart Exit (Regime Shift),22220.24999999996
